name,confidence,xmin,ymin,xmax,ymax
orange,0.651066780090332,139.8972625732422,684.3833618164062,274.71856689453125,804.1173706054688
apple,0.5934789180755615,655.1359252929688,846.80224609375,794.0830688476562,986.809326171875
orange,0.5459614396095276,462.3945007324219,858.9532470703125,607.903564453125,987.843994140625
orange,0.5089905261993408,862.9049072265625,685.5618286132812,956.835693359375,800.8842163085938
apple,0.44801414012908936,323.67926025390625,675.1324462890625,388.08551025390625,795.548828125
apple,0.40115833282470703,274.8013610839844,636.3405151367188,382.2115783691406,774.0346069335938
orange,0.38885435461997986,386.991943359375,777.6622924804688,456.4537353515625,931.2410278320312
apple,0.3604225516319275,994.9389038085938,666.4991455078125,1142.0799560546875,800.4344482421875
orange,0.35296037793159485,322.4539489746094,679.3948974609375,387.9994812011719,797.897216796875
apple,0.3177032172679901,385.6383361816406,756.306640625,458.4951477050781,928.0189208984375
orange,0.2964666187763214,68.92300415039062,595.95849609375,132.85220336914062,758.495361328125
